Country,Place
Afghanistan,Band-e Amir National Park
Albania,Ksamil Beach
Algeria,Sahara Desert
Andorra,Pyrenees Mountains
Angola,Kalandula Falls
Antigua and Barbuda,Dickenson Bay
Argentina,Perito Moreno Glacier
Armenia,Lake Sevan
Australia,Sydney Opera House
Austria,Hallstatt
Azerbaijan,Flame Towers
Bahamas,Exuma
Bahrain,Manama Skyline
Bangladesh,Cox's Bazar
Barbados,Crane Beach
Belarus,Minsk
Belgium,Grand Place
Belize,Great Blue Hole
Benin,Ganvie
Bhutan,Tiger's Nest Monastery
Bolivia,Salar de Uyuni
Bosnia and Herzegovina,Mostar Bridge
Botswana,Okavango Delta
Brazil,Christ the Redeemer
Brunei,Omar Ali Saifuddien Mosque
Bulgaria,Rila Monastery
Burkina Faso,Sindou Peaks
Burundi,Lake Tanganyika
Cabo Verde,Sal Island
Cambodia,Angkor Wat
Cameroon,Mount Cameroon
Canada,Banff National Park
Central African Republic,Dzanga Reserve
Chad,Ennedi Plateau
Chile,Atacama Desert
China,Great Wall
Colombia,Cartagena
Comoros,Mount Karthala
Congo (Republic),Odzala Park
Costa Rica,Arenal Volcano
Croatia,Dubrovnik
Cuba,Havana
Cyprus,Nissi Beach
Czech Republic,Charles Bridge
Denmark,Nyhavn
Djibouti,Lake Assal
Dominica,Boiling Lake
Dominican Republic,Punta Cana
DR Congo,Virunga Park
Ecuador,Galapagos Islands
Egypt,Pyramids of Giza
El Salvador,Santa Ana Volcano
Estonia,Tallinn Old Town
Eswatini,Malolotja
Ethiopia,Lalibela
Fiji,Mamanuca Islands
Finland,Northern Lights
France,Eiffel Tower
Gabon,Loango Park
Gambia,River Gambia
Georgia,Gergeti Trinity Church
Germany,Neuschwanstein Castle
Ghana,Cape Coast Castle
Greece,Santorini
Grenada,Grand Anse Beach
Guatemala,Tikal
Guinea,Mount Nimba
Guyana,Kaieteur Falls
Haiti,Citadelle Laferriere
Honduras,Roatan
Hungary,Parliament Budapest
Iceland,Blue Lagoon
India,Taj Mahal
Indonesia,Bali
Iran,Naqsh-e Jahan Square
Iraq,Ziggurat of Ur
Ireland,Cliffs of Moher
Israel,Jerusalem Old City
Italy,Colosseum
Jamaica,Dunns River Falls
Japan,Mount Fuji
Jordan,Petra
Kazakhstan,Charyn Canyon
Kenya,Maasai Mara
Kiribati,Tarawa
Kuwait,Kuwait Towers
Kyrgyzstan,Issyk Kul
Laos,Kuang Si Falls
Latvia,Riga Old Town
Lebanon,Jeita Grotto
Lesotho,Maletsunyane Falls
Liberia,Robertsport
Libya,Leptis Magna
Liechtenstein,Vaduz Castle
Lithuania,Trakai Castle
Luxembourg,Luxembourg City
Madagascar,Avenue of the Baobabs
Malawi,Lake Malawi
Malaysia,Petronas Towers
Maldives,Overwater Villas
Mali,Djenné Mosque
Malta,Blue Lagoon
Marshall Islands,Majuro
Mauritania,Richat Structure
Mauritius,Le Morne Brabant
Mexico,Chichen Itza
Micronesia,Nan Madol
Moldova,Orheiul Vechi
Monaco,Monte Carlo
Mongolia,Gobi Desert
Montenegro,Kotor Bay
Morocco,Marrakech
Mozambique,Bazaruto Archipelago
Myanmar,Bagan Temples
Namibia,Sossusvlei
Nauru,Anibare Bay
Nepal,Mount Everest
Netherlands,Keukenhof
New Zealand,Milford Sound
Nicaragua,Ometepe Island
Niger,Sahara Dunes
Nigeria,Zuma Rock
North Korea,Pyongyang Skyline
North Macedonia,Lake Ohrid
Norway,Geirangerfjord
Oman,Wadi Shab
Pakistan,Hunza Valley
Palau,Rock Islands
Palestine,Dome of the Rock
Panama,Panama Canal
Papua New Guinea,Mount Wilhelm
Paraguay,Iguazu Falls
Peru,Machu Picchu
Philippines,Palawan
Poland,Wawel Castle
Portugal,Benagil Cave
Qatar,Doha Skyline
Romania,Bran Castle
Russia,Saint Basil's Cathedral
Rwanda,Volcanoes National Park
Saint Kitts and Nevis,Nevis Peak
Saint Lucia,Pitons
Saint Vincent and the Grenadines,Tobago Cays
Samoa,To Sua Ocean Trench
San Marino,Guaita Tower
Sao Tome and Principe,Pico Cao Grande
Saudi Arabia,Al Ula
Senegal,Lake Retba
Serbia,Belgrade Fortress
Seychelles,Anse Source d'Argent
Sierra Leone,Tokeh Beach
Singapore,Marina Bay Sands
Slovakia,High Tatras
Slovenia,Lake Bled
Solomon Islands,Guadalcanal
Somalia,Mogadishu Beach
South Africa,Table Mountain
South Korea,Seoul Skyline
South Sudan,White Nile
Spain,Sagrada Familia
Sri Lanka,Sigiriya Rock
Sudan,Meroe Pyramids
Suriname,Paramaribo
Sweden,Stockholm Old Town
Switzerland,Matterhorn
Syria,Krak des Chevaliers
Taiwan,Taipei 101
Tajikistan,Fann Mountains
Tanzania,Serengeti
Thailand,Phi Phi Islands
Timor-Leste,Atauro Island
Togo,Koutammakou
Tonga,Ha'amonga
Trinidad and Tobago,Maracas Beach
Tunisia,Sidi Bou Said
Turkey,Cappadocia
Turkmenistan,Darvaza Gas Crater
Tuvalu,Funafuti
Uganda,Bwindi Forest
Ukraine,Kyiv
United Arab Emirates,Burj Khalifa
United Kingdom,Big Ben
United States,Grand Canyon
Uruguay,Punta del Este
Uzbekistan,Registan Square
Vanuatu,Mount Yasur
Vatican City,St Peter's Basilica
Venezuela,Angel Falls
Vietnam,Ha Long Bay
Yemen,Socotra Island
Zambia,Victoria Falls
Zimbabwe,Victoria Falls
Zambia,Lower Zambezi
Zimbabwe,Hwange National Park
